date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
18:35:59	26082/26082	---M--	200	added ('OK')	image/jpeg	etag:%22a08dd94f5924a406d7ebce99331801c1%22	https://cdn.prod.website-files.com/6422b97da98152839ebb0b60/664772bc27d1968ae2fa3d5d_Fitch-3.jpg	C:/Users/guilh/Downloads/Genesis/cdn.prod.website-files.com/6422b97da98152839ebb0b60/664772bc27d1968ae2fa3d5d_Fitch-3.jpg	(from https://www.widelab.co/clients)
18:35:59	216176/216176	---M--	200	added ('OK')	image/png	etag:%2212167c1ac55cddef03aaf2836b36d9a0%22	https://cdn.prod.website-files.com/6422b97da98152839ebb0b60/6683b71fe7f20fc58fe3ef06_ck-1%20(3).png	C:/Users/guilh/Downloads/Genesis/cdn.prod.website-files.com/6422b97da98152839ebb0b60/6683b71fe7f20fc58fe3ef06_ck-1%20(3).png	(from https://www.widelab.co/clients)
18:35:59	58711/58711	---M--	200	added ('OK')	image/png	etag:%227be107b4179bdf629b541646a560bae8%22	https://cdn.prod.website-files.com/6422b97da98152839ebb0b60/6683b729875f1845805ba0ef_ck-2%20(2).png	C:/Users/guilh/Downloads/Genesis/cdn.prod.website-files.com/6422b97da98152839ebb0b60/6683b729875f1845805ba0ef_ck-2%20(2).png	(from https://www.widelab.co/clients)
18:35:59	54707/54707	---M--	200	added ('OK')	image/png	etag:%221f13de84448b447d284230ba52f0f2b5%22	https://cdn.prod.website-files.com/6422b97da98152839ebb0b60/6683b7341ca49d5b73806b66_ck-3%20(4).png	C:/Users/guilh/Downloads/Genesis/cdn.prod.website-files.com/6422b97da98152839ebb0b60/6683b7341ca49d5b73806b66_ck-3%20(4).png	(from https://www.widelab.co/clients)
18:36:00	89364/89364	---M--	200	added ('OK')	image/png	etag:%22c6e775e3c20b7aa13f71b5c4d3851072%22	https://cdn.prod.website-files.com/6422b97da98152839ebb0b60/6683b826b040256010dbf367_ck-1%20(4).png	C:/Users/guilh/Downloads/Genesis/cdn.prod.website-files.com/6422b97da98152839ebb0b60/6683b826b040256010dbf367_ck-1%20(4).png	(from https://www.widelab.co/clients)
18:36:00	22163/22163	---M--	200	added ('OK')	image/png	etag:%22fd55ae9f02545a0b9342e52f84c68d42%22	https://cdn.prod.website-files.com/6422b97da98152839ebb0b60/6683b82adaf4f2db06c7cfdd_ck-2%20(3).png	C:/Users/guilh/Downloads/Genesis/cdn.prod.website-files.com/6422b97da98152839ebb0b60/6683b82adaf4f2db06c7cfdd_ck-2%20(3).png	(from https://www.widelab.co/clients)
18:36:00	5253/5253	---M--	200	added ('OK')	image/png	etag:%226a59fa6e1af98eef0e9292439368009c%22	https://cdn.prod.website-files.com/6422b97da98152839ebb0b60/6683b82decfcd3693f97fddd_ck-3%20(5).png	C:/Users/guilh/Downloads/Genesis/cdn.prod.website-files.com/6422b97da98152839ebb0b60/6683b82decfcd3693f97fddd_ck-3%20(5).png	(from https://www.widelab.co/clients)
18:36:00	234311/234311	---M--	200	added ('OK')	image/png	etag:%225b52afbbabb09fc644deaf2a26c55b31%22	https://cdn.prod.website-files.com/6422b97da98152839ebb0b60/6683bb74af20c31bfeda46b7_AOG.png	C:/Users/guilh/Downloads/Genesis/cdn.prod.website-files.com/6422b97da98152839ebb0b60/6683bb74af20c31bfeda46b7_AOG.png	(from https://www.widelab.co/clients)
18:36:00	17447/17447	---M--	200	added ('OK')	image/png	etag:%220f0f39dfb786b89a72769e506ce824d7%22	https://cdn.prod.website-files.com/6422b97da98152839ebb0b60/6683bb79bc72467457c6f884_AOG%20(1).png	C:/Users/guilh/Downloads/Genesis/cdn.prod.website-files.com/6422b97da98152839ebb0b60/6683bb79bc72467457c6f884_AOG%20(1).png	(from https://www.widelab.co/clients)
18:36:01	38656/38656	---M--	200	added ('OK')	image/png	etag:%22a6e2240a580dd8293c5073e109b4b12e%22	https://cdn.prod.website-files.com/6422b97da98152839ebb0b60/6683bb7cb212602418279e93_AOG%20(2).png	C:/Users/guilh/Downloads/Genesis/cdn.prod.website-files.com/6422b97da98152839ebb0b60/6683bb7cb212602418279e93_AOG%20(2).png	(from https://www.widelab.co/clients)
18:36:01	418110/418110	---M--	200	added ('OK')	image/jpeg	etag:%22df45ac9692d9ff6c57604d1554e97efe%22	https://cdn.prod.website-files.com/6422b97da98152839ebb0b60/66cd8e7921721ae25aa6b70e_TrainEffective.jpg	C:/Users/guilh/Downloads/Genesis/cdn.prod.website-files.com/6422b97da98152839ebb0b60/66cd8e7921721ae25aa6b70e_TrainEffective.jpg	(from https://www.widelab.co/clients)
18:36:01	130992/130992	---M--	200	added ('OK')	image/jpeg	etag:%224617a3dfc606c3bf1cc7c82f9456bc94%22	https://cdn.prod.website-files.com/6422b97da98152839ebb0b60/66cd8e7cc1e8d7a8efb4830b_TrainEffective%20(1).jpg	C:/Users/guilh/Downloads/Genesis/cdn.prod.website-files.com/6422b97da98152839ebb0b60/66cd8e7cc1e8d7a8efb4830b_TrainEffective%20(1).jpg	(from https://www.widelab.co/clients)
18:36:01	143465/143465	---M--	200	added ('OK')	image/jpeg	etag:%2274b27f5beabdc7c0d4bac5409963763b%22	https://cdn.prod.website-files.com/6422b97da98152839ebb0b60/66cd8e7f06ab48184d9f2a15_TrainEffective%20(2).jpg	C:/Users/guilh/Downloads/Genesis/cdn.prod.website-files.com/6422b97da98152839ebb0b60/66cd8e7f06ab48184d9f2a15_TrainEffective%20(2).jpg	(from https://www.widelab.co/clients)
18:36:02	7164/7164	---MCZ	200	added ('OK')	text/javascript	etag:W/%220234a9022712d6601ff4f6f7ed328272%22	https://cdn.prod.website-files.com/6422b97da981524088bb0b36/js/wideweb.de073acd.c4fe21b33d929df6.js	C:/Users/guilh/Downloads/Genesis/cdn.prod.website-files.com/6422b97da981524088bb0b36/js/wideweb.de073acd.c4fe21b33d929df6.js	(from https://www.widelab.co/clients)
18:36:02	23115/23115	---MCZ	200	added ('OK')	application/javascript	etag:W/%225a4b-PT05vO68/Eb2gc6xYWwNzdj8FTo%22	https://cdn.jsdelivr.net/npm/@finsweet/attributes-cmsfilter@1/cmsfilter.js	C:/Users/guilh/Downloads/Genesis/cdn.jsdelivr.net/npm/@finsweet/attributes-cmsfilter@1/cmsfilter.js	(from https://www.widelab.co/clients)
18:36:02	10083/10083	---MCZ	200	added ('OK')	application/javascript	etag:W/%222763-92aLxQajFxZ9xf2IW9u7aX4tTgg%22	https://cdn.jsdelivr.net/npm/@finsweet/attributes-cmssort@1/cmssort.js	C:/Users/guilh/Downloads/Genesis/cdn.jsdelivr.net/npm/@finsweet/attributes-cmssort@1/cmssort.js	(from https://www.widelab.co/clients)
18:36:03	9199/9199	---MCZ	200	added ('OK')	application/javascript	etag:W/%2223ef-wbgrWUa/ZXM+koU2XOMBQKJgVmo%22	https://cdn.jsdelivr.net/npm/@finsweet/attributes-selectcustom@1/selectcustom.js	C:/Users/guilh/Downloads/Genesis/cdn.jsdelivr.net/npm/@finsweet/attributes-selectcustom@1/selectcustom.js	(from https://www.widelab.co/clients)
18:36:03	10088/10088	---MCZ	200	added ('OK')	application/javascript	etag:W/%222768-ReVA5t+JRQz7oIMM1MJ3tyQYdvU%22	https://cdn.jsdelivr.net/npm/@finsweet/attributes-cmsnest@1/cmsnest.js	C:/Users/guilh/Downloads/Genesis/cdn.jsdelivr.net/npm/@finsweet/attributes-cmsnest@1/cmsnest.js	(from https://www.widelab.co/blog)
18:36:04	63857/63857	---MCZ	200	added ('OK')	text/html	date:Mon,%2017%20Mar%202025%2010:48:06%20GMT	https://www.widelab.co/blog/its-time-for-widelab-rebranding-and-story	C:/Users/guilh/Downloads/Genesis/www.widelab.co/blog/its-time-for-widelab-rebranding-and-story.html	(from https://www.widelab.co/blog)
18:36:06	63124/63124	---MCZ	200	added ('OK')	text/html	date:Mon,%2017%20Mar%202025%2010:15:37%20GMT	https://www.widelab.co/blog/the-power-of-product-discovery	C:/Users/guilh/Downloads/Genesis/www.widelab.co/blog/the-power-of-product-discovery.html	(from https://www.widelab.co/blog)
18:36:07	69704/69704	---MCZ	200	added ('OK')	text/html	date:Mon,%2017%20Mar%202025%2010:48:06%20GMT	https://www.widelab.co/blog/how-to-keep-your-saas-customers-happy-enhanced-user-experiences-in-saas-solution	C:/Users/guilh/Downloads/Genesis/www.widelab.co/blog/how-to-keep-your-saas-customers-happy-enhanced-user-experiences-in-saas-solution.html	(from https://www.widelab.co/blog)
